MSN,YYYYMM,Description,Unit,Category,Pred
CLEIEUS,199404,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,120.392
CLEIEUS,199405,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,126.496
CLEIEUS,199406,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,146.639
CLEIEUS,199407,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,153.375
CLEIEUS,199408,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,151.757
CLEIEUS,199409,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,133.235
CLEIEUS,199410,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,129.229
CLEIEUS,199411,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,124.074
CLEIEUS,199412,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,136.675
CLEIEUS,199413,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,1638.781
CLEIEUS,199501,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,143.097
CLEIEUS,199502,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,127.774
CLEIEUS,199503,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,127.348
CLEIEUS,199504,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,118.414
CLEIEUS,199505,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,125.516
CLEIEUS,199506,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,138.913
CLEIEUS,199507,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,159.638
CLEIEUS,199508,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,167.717
CLEIEUS,199509,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,137.474
CLEIEUS,199510,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,132.871
CLEIEUS,199511,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,134.591
CLEIEUS,199512,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,147.39
CLEIEUS,199513,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,1660.744
CLEIEUS,199601,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,153.915
